商品子类,订单数,金额总和,平均金额
monthly,549989,14243992.049999999,25.898685337343107
quarterly,10199,764392.93,74.94783115991764
single_pt,2432,581005.61,238.9003330592105
annual,1467,444660.39,303.1086503067485
trial_pt,1271,31303.6,24.629110936270653
unknown,1045,107515.11,102.88527272727272
small_package,231,305501.11,1322.5156277056276
visit_pass,223,359234.14,1610.9154260089688
member_other,119,36545.99,307.1091596638655
gift_right,117,0.0,0.0
discount_member,97,1750.3,18.044329896907215
middle_package,29,79032.0,2725.2413793103447
large_package,5,23636.65,4727.33
