变量,中文含义,系数beta,标准误近似,z值近似,p值,HR,显著性
order_amount_avg,平均客单价,4.238961239867663,5.145506650734239,0.8238180470066604,0.4100429516561288,69.33579116275222,
member_order_count,会员订单次数,1.5700124780254063,4.427011526134483,0.3546438649994409,0.7228564098828176,4.806708171627661,
active_member,是否有效会员,1.2189085120473908,1.6103476572453521,0.7569225853580251,0.449096243433587,3.3834926759391744,
order_count,订单次数,0.5410141708686148,2.6708518292897603,0.2025624053478409,0.8394770769568247,1.7177480691462756,
visit_count,到店次数,0.21802345875908447,1.2892922951742032,0.16910320458374115,0.8657154643392755,1.2436162409706657,
current_member_duration_days,当前会员权益时长,0.10215995088371123,1.2478860411278603,0.08186641048679201,0.9347529452982477,1.107560612859406,
days_since_last_visit,距上次到店天数,0.09489882744128544,1.0461535557581947,0.09071213964618031,0.9277213243610136,1.0995476054538187,
days_since_last_buy,距上次购买天数,0.07935906288090715,0.9163884451045662,0.08659980743411898,0.9309896189720668,1.0825929712424975,
days_since_last_active,距上次活跃天数,0.07200629495221311,1.0038813366604487,0.07172789484437683,0.9428184564573572,1.0746621089891424,
run_distance_total,跑步距离,0.04871678658532833,1.208283438066663,0.04031900550029765,0.9678388018999975,1.0499229563633636,
pt_private_amount,私教课包金额,0.030340472637812067,1.0621221047697014,0.028565898875055194,0.9772108097343359,1.0308054352595943,
pt_amount,私教消费金额,0.02597414258066958,1.1766489335250798,0.022074674816433642,0.9823883881216202,1.0263144102882675,
A_score,线下活跃度得分,0.020036272375473476,0.8764537766813549,0.02286061502449079,0.9817614568359101,1.02023834582396,
pt_bought_before,历史是否买过私教,0.016932116578355166,1.0586363092230862,0.015994271527283378,0.9872389617705721,1.0170762773639819,
pt_amount_total_before,历史私教消费金额,0.011557740589354742,1.0383220782118971,0.011131170984304235,0.9911187939296433,1.011624789334807,
run_minutes_total,跑步时长,0.007686831460778503,1.54025906083542,0.00499060947358378,0.996018086281083,1.0077164509945464,
anaerobic_count,无氧训练次数,0.006244600708228138,0.9932576300081035,0.006286989920406844,0.9949837408542517,1.0062641388754092,
discount_order_ratio,优惠订单占比,0.003862627607647528,1.0010481238451454,0.0038585833344462143,0.9969213035704896,1.0038700971679453,
days_since_last_interact,距上次互动天数,0.003487545797722665,0.9425273704973316,0.003700206388576743,0.9970476691877583,1.003493634361559,
like_given_count,主动点赞数,0.0019401120034675363,0.940671933823351,0.0020624746351068134,0.9983543844982878,1.0019419952384592,
like_received_count,被点赞数,0.0011115474488424958,0.9046484820238265,0.0012287064765264483,0.9990196343193005,1.0011121654466648,
post_count,发帖数,6.14500715625713e-06,0.890936712910382,6.897243168017532e-06,0.9999944967961643,1.000006145026037,
anaerobic_volume,无氧训练量,-0.0001008216201574972,0.9985795397209072,-0.00010096503698210742,0.999919441555948,0.9998991834621712,
comment_given_count,主动评论数,-0.00010410677016177194,0.927587640335827,-0.0001122338910467595,0.999910450311323,0.9998958986487599,
comment_received_count,被评论数,-0.00064244382324332,0.9345686420014455,-0.0006874228327065208,0.9994515159782378,0.9993577624996037,
anaerobic_calorie_total,无氧消耗,-0.0009918030405166383,0.9946549041806709,-0.0009971328109356864,0.9992044032569247,0.9990086886335575,
S_score,线上互动强度得分,-0.001238227159666021,0.897005296913021,-0.0013804011681171676,0.9988985995700328,0.9987625391272718,
pt_sessions_bought_before,历史私教课时,-0.0057410233599474855,0.9159660969158187,-0.0062677247326929295,0.9949991119472357,0.9942754248231414,
pt_order_count,私教订单次数,-0.006325284803283518,0.9986335611418063,-0.0063339397446761005,0.994946281060207,0.9936946776989575,
pt_sessions_bought,本期私教课时,-0.013745051863644733,0.7779153008851634,-0.017669085372153892,0.9859028430958909,0.9863489800442162,
stay_hours_total,在馆时长,-0.017068970374135826,0.8043125387776577,-0.02122181310274753,0.9830687138600507,0.9830758791854616,
days_since_last_pt_buy,距上次私教购买天数,-0.01769058396945693,0.939426022538142,-0.018831268822701436,0.9849757093286458,0.9824649757463405,
pt_unit_price_est,私教单价估计,-0.023267868046465738,1.0514946558935994,-0.022128374990828495,0.9823455520450686,0.9770007414386335,
calorie_total,运动消耗,-0.07000751950117616,1.1046030032948106,-0.06337799127139586,0.9494655124327187,0.9323868087958829,
current_member_price,当前会员价格,-0.14146629577597192,1.0881919071489452,-0.13000123861113116,0.8965654467379456,0.8680844332040483,
dte,剩余会员天数,-0.49166097951182236,1.5240935228696117,-0.3225923948460246,0.7470039540920768,0.6116096789006493,
member_amount,会员消费金额,-0.6677468576073491,6.470352397016956,-0.1032010030729087,0.9178034438270906,0.5128628299347487,
order_amount_total,订单总额,-2.297743904708502,6.659652703932214,-0.34502458414262227,0.7300758888009611,0.10048529257710336,
valid_revenue_amount,有效收入金额,-2.297743904708502,6.659652703932213,-0.34502458414262227,0.7300758888009611,0.10048529257710336,
