原始变量,中文含义,重要性
current_member_type,当前会员类型,0.391698803842748
user_state,用户状态,0.3374729830586054
active_recency_score,活跃近因得分,0.0902224931795053
visit_recency_score,到店近因得分,0.05223360098177382
A_score,线下活跃度得分,0.03156022127885492
visit_count,到店次数,0.027222519832118805
active_gap,活跃提升空间,0.02149089232960476
stay_hours_total,在馆时长,0.018669219378971865
current_member_price,当前会员价格,0.0139135885308843
run_distance_total,跑步距离,0.005445534102348185
calorie_total,运动消耗,0.005284606064435275
run_minutes_total,跑步时长,0.0040724749471798905
buy_stickiness,购买粘性,0.00025118750348301244
anaerobic_calorie_total,无氧消耗,8.220358325557133e-05
pt_bought_before,历史是否买过私教,8.103757866531212e-05
pt_amount,私教消费金额,8.028162809250878e-05
anaerobic_count,无氧训练次数,6.557374719802409e-05
current_member_duration_days,当前会员权益时长,4.409692312277818e-05
pt_potential,私教转化潜力,4.359925167331297e-05
pt_unit_price_est,私教单价估计,2.0619298362959905e-05
o2o_strength,线上线下联动强度,1.60770333644952e-05
pt_sessions_bought,本期私教课时,1.5322894887022398e-05
interact_recency_score,互动近因得分,1.0528774789337412e-05
S_score,线上互动强度得分,1.2564301154713033e-06
anaerobic_volume,无氧训练量,6.440511953503888e-07
like_given_count,主动点赞数,4.795603346710645e-07
discount_order_ratio,优惠订单占比,9.751871449008853e-08
like_received_count,被点赞数,2.69062968174516e-08
post_count,发帖数,2.536485000540623e-08
comment_received_count,被评论数,4.320767302396172e-09
pt_private_amount,私教课包金额,1.0380091324723242e-10
comment_given_count,主动评论数,3.2049678620493864e-17
pt_order_count,私教订单次数,0.0
