观察期标签,delay_window_count,总窗口数,策略编号,策略名称,window_index,window_type,window_weight,会员收入,私教收入,积分成本,平台利润贡献,累计平台利润,窗口末续费概率提升,窗口末私教购买概率提升,窗口私教收入提升,窗口活跃提升,窗口线上活跃提升,窗口结算积分
L2,1,2,S0,无积分基准策略,1,active,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,2852303.474602267,0.0,0.0,0.0,0.0,0.0,0.0
L2,1,2,S0,无积分基准策略,2,delayed,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,5704606.949204534,0.0,0.0,0.0,0.0,0.0,0.0
L2,1,2,S1,低补贴保留策略,1,active,1.0,9906656.922155626,104090.3292158732,68463.38854754159,3430093.632971689,3430093.632971689,68120.54610244506,63.38432384776405,18443.208096104652,41093.083299166814,103843.06032415546,22821146.197817583
L2,1,2,S1,低补贴保留策略,2,delayed,1.0,9736994.28518477,85859.05702046954,0.0,3433705.7169208103,6863799.349892499,61944.79748866788,3.586224627825519,211.93590070097707,14382.579154708385,36345.07111345443,0.0
L2,1,2,S2,均衡促活策略,1,active,1.0,10004916.25292711,108277.198504514,273175.976635938,3261027.8714399044,3261027.8714399044,71722.43514519533,76.82460222708818,22630.07738474542,99801.7763575679,299514.75377793657,54635579.416558884
L2,1,2,S2,均衡促活策略,2,delayed,1.0,9890237.434266537,102751.75155914796,0.0,3492408.6274610325,6753436.498900937,67509.86314916264,59.08247420865571,17104.630439379398,34930.62172514874,104830.16382227774,0.0
L2,1,2,S3,私教转化强化策略,1,active,1.0,9998574.805257369,108552.48414130916,323755.3396197923,3208311.5874626795,3208311.5874626795,71476.08455841999,77.76328567183826,22905.363021540605,108827.98538464526,357697.14832179144,58864911.62040564
L2,1,2,S3,私教转化强化策略,2,delayed,1.0,9900917.268143473,103558.80593140128,0.0,3496388.685629636,6704700.2730923155,67902.11633382383,61.64337404058571,17911.684811632716,38089.79488462583,125194.00191262695,0.0
L2,1,2,S4,流失召回强化策略,1,active,1.0,10037588.970241684,110154.84747379874,455576.49851949443,3090626.0953072347,3090626.0953072347,72921.98279212984,83.23380161705099,24507.726354030165,162825.70510381323,505323.8358886201,75930144.40604764
L2,1,2,S4,流失召回强化策略,2,delayed,1.0,9949384.265429216,106107.73926110649,0.0,3514116.814678557,6604742.909985792,69665.99737848771,69.88676071095254,20460.618141337924,56988.996786334625,176863.342561017,0.0
L2,1,2,S5,高强度综合激励策略,1,active,1.0,10093591.118145987,111681.44319635516,788873.9182760085,2777387.4060339937,2777387.4060339937,75026.47109962556,88.23806327148063,26034.322076586603,300700.2620301726,961848.0322160486,112697319.68047889
L2,1,2,S5,高强度综合激励策略,2,delayed,1.0,9999087.862351252,108436.27450668022,0.0,3532211.634174942,6309599.040208936,71494.38991246605,77.36412958128315,22789.153386911654,105245.0917105604,336646.811275617,0.0
