观察期标签,delay_window_count,总窗口数,延续活跃系数,S5平台利润,S0平台利润,利润差_S5减S0,利润差占S0比例,是否已超过S0
L1,1,2,0.2,6294590.906177288,5704606.949204534,589983.9569727536,0.10342236761027376,True
L1,2,3,0.2,9719064.331391746,8556910.4238068,1162153.9075849466,0.1358146632400912,True
L1,3,4,0.2,12985344.892770559,11409213.898409069,1576130.99436149,0.1381454505451309,True
L1,4,5,0.2,16092496.012010086,14261517.373011336,1830978.6389987506,0.12838596280531245,True
L1,6,7,0.2,22204418.54620056,19966124.32221587,2238294.2239846885,0.11210459215132641,True
L1,8,9,0.2,28159549.91118889,25670731.271420408,2488818.6397684813,0.09695160661587068,True
L1,12,13,0.2,39664163.637570925,37079945.16982948,2584218.4677414447,0.06969315774080818,True
L2,1,2,0.35,6309599.040208936,5704606.949204534,604992.0910044014,0.106053247207288,True
L2,2,3,0.35,9806390.686540622,8556910.4238068,1249480.2627338227,0.1460200236825611,True
L2,3,4,0.35,13236401.720300961,11409213.898409069,1827187.8218918927,0.16015019423438812,True
L2,4,5,0.35,16572226.715121735,14261517.373011336,2310709.342110399,0.1620240877372006,True
L2,6,7,0.35,22875751.076374408,19966124.32221587,2909626.754158538,0.14572816973402594,True
L2,8,9,0.35,29018446.900164906,25670731.271420408,3347715.628744498,0.13040982718211683,True
L2,12,13,0.35,41037564.167555414,37079945.16982948,3957618.997725934,0.10673206175466773,True
L3,1,2,0.5,6321838.414767581,5704606.949204534,617231.4655630467,0.10819877181005698,True
L3,2,3,0.5,9847434.031283664,8556910.4238068,1290523.607476864,0.1508165381615314,True
L3,3,4,0.5,13345038.47888135,11409213.898409069,1935824.5804722812,0.16967203855668073,True
L3,4,5,0.5,16804464.79442315,14261517.373011336,2542947.421411816,0.17830833528444315,True
L3,6,7,0.5,23548223.67914864,19966124.32221587,3582099.3569327705,0.17940884766239018,True
L3,8,9,0.5,29981175.276083287,25670731.271420408,4310444.004662879,0.16791278593071315,True
L3,12,13,0.5,42325111.52642236,37079945.16982948,5245166.356592879,0.14145561253042704,True
L4,1,2,0.7,6332001.2707320945,5704606.949204534,627394.3215275602,0.10998028910914638,True
L4,2,3,0.7,9875621.959911313,8556910.4238068,1318711.5361045133,0.15411070944901217,True
L4,3,4,0.7,13407218.110429514,11409213.898409069,1998004.2120204456,0.17512198735261267,True
L4,4,5,0.7,16931415.484075073,14261517.373011336,2669898.1110637374,0.18720996099028595,True
L4,6,7,0.7,23936911.42084574,19966124.32221587,3970787.0986298695,0.19887620824897206,True
L4,8,9,0.7,30865239.501819793,25670731.271420408,5194508.230399385,0.20235139293373014,True
L4,12,13,0.7,44373124.084619634,37079945.16982948,7293178.9147901535,0.19668796384101267,True
