观察期标签,delay_window_count,总窗口数,策略编号,策略名称,window_index,window_type,window_weight,会员收入,私教收入,积分成本,平台利润贡献,累计平台利润,窗口末续费概率提升,窗口末私教购买概率提升,窗口私教收入提升,窗口活跃提升,窗口线上活跃提升,窗口结算积分
L1,1,2,S0,无积分基准策略,1,active,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,2852303.474602267,0.0,0.0,0.0,0.0,0.0,0.0
L1,1,2,S0,无积分基准策略,2,delayed,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,5704606.949204534,0.0,0.0,0.0,0.0,0.0,0.0
L1,1,2,S1,低补贴保留策略,1,active,1.0,9906656.922155626,104090.3292158732,68463.38854754159,3430093.632971689,3430093.632971689,68120.54610244506,63.38432384776405,18443.208096104652,41093.083299166814,103843.06032415546,22821146.197817583
L1,1,2,S1,低补贴保留策略,2,delayed,1.0,9607142.840413282,78290.69934212163,0.0,3385987.2039472847,6816080.836918974,57273.03191630061,-21.320856035328827,-7356.42177764693,8218.616659833362,20768.6120648311,0.0
L1,1,2,S2,均衡促活策略,1,active,1.0,10004916.25292711,108277.198504514,273175.976635938,3261027.8714399044,3261027.8714399044,71722.43514519533,76.82460222708818,22630.07738474542,99801.7763575679,299514.75377793657,54635579.416558884
L1,1,2,S2,均衡促活策略,2,delayed,1.0,9810205.201991895,90311.85603541965,0.0,3460665.377507789,6721693.248947693,64568.78781594273,18.19573877552425,4664.73491565109,19960.35527151357,59902.95075558732,0.0
L1,1,2,S3,私教转化强化策略,1,active,1.0,9998574.805257369,108552.48414130916,323755.3396197923,3208311.5874626795,3208311.5874626795,71476.08455841999,77.76328567183826,22905.363021540605,108827.98538464526,357697.14832179144,58864911.62040564
L1,1,2,S3,私教转化强化策略,2,delayed,1.0,9825079.21721632,91628.85651884045,0.0,3466266.3829813637,6674577.970444043,65111.28230421812,22.490329032492763,5981.735399071884,21765.597076929036,71539.42966435828,0.0
L1,1,2,S4,流失召回强化策略,1,active,1.0,10037588.970241684,110154.84747379874,455576.49851949443,3090626.0953072347,3090626.0953072347,72921.98279212984,83.23380161705099,24507.726354030165,162825.70510381323,505323.8358886201,75930144.40604764
L1,1,2,S4,流失召回强化策略,2,delayed,1.0,9884210.947512228,102210.74445988591,0.0,3490137.054967245,6580763.15027448,67295.41846840228,57.217430278839544,16563.623340117352,32565.141020762647,101064.76717772403,0.0
L1,1,2,S5,高强度综合激励策略,1,active,1.0,10093591.118145987,111681.44319635516,788873.9182760085,2777387.4060339937,2777387.4060339937,75026.47109962556,88.23806327148063,26034.322076586603,300700.2620301726,961848.0322160486,112697319.68047889
L1,1,2,S5,高强度综合激励策略,2,delayed,1.0,9957926.601817098,106430.63169103267,0.0,3517203.5001432938,6294590.906177288,69969.45460407465,70.88711245216403,20783.51057126411,60140.05240603451,192369.6064432097,0.0
L1,2,3,S0,无积分基准策略,1,active,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,2852303.474602267,0.0,0.0,0.0,0.0,0.0,0.0
L1,2,3,S0,无积分基准策略,2,delayed,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,5704606.949204534,0.0,0.0,0.0,0.0,0.0,0.0
L1,2,3,S0,无积分基准策略,3,delayed,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,8556910.423806801,0.0,0.0,0.0,0.0,0.0,0.0
L1,2,3,S1,低补贴保留策略,1,active,1.0,9906656.922155626,104090.3292158732,68463.38854754159,3430093.632971689,3430093.632971689,68120.54610244506,63.38432384776405,18443.208096104652,41093.083299166814,103843.06032415546,22821146.197817583
L1,2,3,S1,低补贴保留策略,2,delayed,1.0,9607142.840413282,78290.69934212163,0.0,3385987.2039472847,6816080.836918974,57273.03191630061,-21.320856035328827,-7356.42177764693,8218.616659833362,20768.6120648311,0.0
L1,2,3,S1,低补贴保留策略,3,delayed,1.0,9053469.12738137,72853.25243528064,0.0,3190570.1703140633,10006651.007233039,36983.33135525679,-40.461523109603725,-12793.868684487927,1643.7233319666732,4153.72241296622,0.0
L1,2,3,S2,均衡促活策略,1,active,1.0,10004916.25292711,108277.198504514,273175.976635938,3261027.8714399044,3261027.8714399044,71722.43514519533,76.82460222708818,22630.07738474542,99801.7763575679,299514.75377793657,54635579.416558884
L1,2,3,S2,均衡促活策略,2,delayed,1.0,9810205.201991895,90311.85603541965,0.0,3460665.377507789,6721693.248947693,64568.78781594273,18.19573877552425,4664.73491565109,19960.35527151357,59902.95075558732,0.0
L1,2,3,S2,均衡促活策略,3,delayed,1.0,9394315.321314408,75344.31041505266,0.0,3310613.6555845584,10032306.904532252,49649.542236692505,-31.53251557271967,-10302.8107047159,3992.071054302714,11980.590151117465,0.0
L1,2,3,S3,私教转化强化策略,1,active,1.0,9998574.805257369,108552.48414130916,323755.3396197923,3208311.5874626795,3208311.5874626795,71476.08455841999,77.76328567183826,22905.363021540605,108827.98538464526,357697.14832179144,58864911.62040564
