gamma_kappa,epsilon_kappa,kappa情景,延续活跃系数,delay_window_count,总窗口数,可行策略数量,最优策略编号,最优策略名称,最优策略替代TOPSIS得分,S5排序,S5_替代TOPSIS得分,S4排序,S4_替代TOPSIS得分,S3排序,S3_替代TOPSIS得分,S2排序,S1排序,S5是否第一,S4是否第一,S3是否第一,S0平台利润,S1平台利润,S5平台利润,S5相对S0利润差,S5相对S1利润差,S5成本收入比,S5积分成本,S5总活跃度提升,S5续费概率提升,S5私教购买概率提升,S5私教收入提升,S4平台利润,S4相对S0利润差,S4相对S1利润差,S4续费概率提升,S4私教购买概率提升,S4私教收入提升,S3平台利润,S3私教购买概率提升,S3私教收入提升,S2平台利润
0.25,1e-09,"gamma=0.25, epsilon=1e-09",0.35,1,2,5,S5,高强度综合激励策略,0.5757320726549424,1,0.5757320726549424,2,0.5673697941018249,4,0.483918714843949,3,5,True,False,False,5704606.949204534,6254250.768871706,6027203.698754243,322596.74954970833,-227047.07011746336,0.035056464744362775,671949.9058454214,243154.13251667432,50548.92442581661,24.974686994260185,19155.588690562,6265210.490831383,560603.5416268483,10959.721959676594,48084.32063455634,-5.563024384079378,7128.485396313481,6275729.509521122,-23.155039832044206,-7510.784888465016,6332835.7223981
0.25,1e-09,"gamma=0.25, epsilon=1e-09",0.35,2,3,5,S4,流失召回强化策略,0.6196556460323476,3,0.528294228740235,1,0.6196556460323476,4,0.5129166308100496,2,5,False,True,False,8556910.4238068,9294750.89762488,9314829.815935109,757919.3921283092,20078.918310228735,0.02351756411145705,671949.9058454214,265218.1186154096,46465.915890082724,-18.752418404017206,13269.16560436113,9493645.416962836,936734.9931560364,198894.51933795586,40612.83647130903,-30.782445422215044,-2303.281062284281,9443490.875180501,-36.2199136352086,-18584.164602776436,9502773.77834572
0.25,1e-09,"gamma=0.25, epsilon=1e-09",0.35,3,4,5,S5,高强度综合激励策略,0.6239617880865539,1,0.6239617880865539,2,0.5826509353397734,4,0.4494302631502012,3,5,True,False,False,11409213.898409069,12292610.912095454,12530964.54433503,1121750.6459259614,238353.63223957643,0.017789657694646254,671949.9058454214,272940.5137499669,39140.25800767041,-34.01076238473266,2711.4766112148063,12656508.853074752,1247294.9546656832,363897.9409792982,33748.32116899133,-37.781787676734474,-13964.113504870387,12525262.911225997,-46.375378728614834,-32760.60885921796,12591080.214307755
0.25,1e-09,"gamma=0.25, epsilon=1e-09",0.35,4,5,5,S5,高强度综合激励策略,0.6480660895415776,1,0.6480660895415776,2,0.5749097517089267,4,0.4117864381769005,3,5,True,False,False,14261517.373011336,15270483.201963427,15675865.786052395,1414348.413041059,405382.5840889681,0.014367826147687645,671949.9058454214,275643.352047062,31952.14993978586,-43.81254953778172,-10784.437708855141,15748953.946111692,1487436.5731003564,478470.74414826557,26447.945335600543,-58.74839195705057,-31795.133529253944,15546439.57599126,-52.67663451501699,-48702.41669958335,15614872.449716154
0.25,1e-09,"gamma=0.25, epsilon=1e-09",0.35,6,7,5,S5,高强度综合激励策略,0.632024281203847,1,0.632024281203847,2,0.5730810420415438,3,0.46282307172961323,4,5,True,False,False,19966124.32221587,21162135.881486215,21741625.82678478,1775501.5045689084,579489.9452985637,0.010479883515850613,671949.9058454214,276920.4431424395,17555.444509710414,-53.944713799881676,-44553.843005838105,21758636.831457205,1792512.509241335,596500.9499709904,15666.293145177282,-54.46067672008602,-64571.76046508516,21510096.885397322,-55.81005801578863,-82125.5598287108,21582910.73227876
0.25,1e-09,"gamma=0.25, epsilon=1e-09",0.35,8,9,5,S5,高强度综合激励策略,0.6371679365996916,1,0.6371679365996916,2,0.5840100730133869,4,0.451033168137917,3,5,True,False,False,25670731.271420408,26954281.171177365,27697839.941745248,2027108.6703248397,743558.7705678828,0.008279780158815529,671949.9058454214,277076.8868016232,13327.97963239696,-55.89254466408468,-77945.89633837866,27689008.351584964,2018277.0801645555,734727.1804075986,11859.586482457671,-56.98656979026497,-98565.31863407907,27384501.06313813,-57.93537089719774,-116741.02853883896,27466652.951181803
0.25,1e-09,"gamma=0.25, epsilon=1e-09",0.35,12,13,5,S5,高强度综合激励策略,0.642761325371599,1,0.642761325371599,2,0.5780823151191046,4,0.43578567944842517,3,5,True,False,False,37079945.16982948,38379654.56262881,39335527.62473059,2255582.4549011067,955873.0621017739,0.0058713803961661275,671949.9058454214,277098.3987825339,3910.5591241665857,-58.73568429223281,-148229.75996144442,39280689.56258565,2200744.3927561715,901034.9999568388,2930.757108960226,-58.78701005599027,-169076.87840438704,38894065.652195334,-58.47664838840372,-187432.59915885818,38987455.82268861
0.25,0.0001,"gamma=0.25, epsilon=0.0001",0.35,1,2,5,S5,高强度综合激励策略,0.5743775481999014,1,0.5743775481999014,2,0.5590714670109791,3,0.48883109560418125,4,5,True,False,False,5704606.949204534,5901745.851040603,5682453.544565212,-22153.40463932231,-219292.30647539068,0.03696436002622415,671949.2151970809,243154.13251667432,31393.908216205968,-27.125328404992,-11251.457631491125,5909380.254428721,204773.30522418674,7634.403388118371,28012.86807109696,-36.52358693678585,-17106.84999953874,5911704.334008465,-43.46838110576304,-22187.07661191019,5969805.056143281
0.25,0.0001,"gamma=0.25, epsilon=0.0001",0.35,2,3,5,S4,流失召回强化策略,0.6148300566770606,3,0.5169882517951055,1,0.6148300566770606,4,0.49318090940984183,2,5,False,True,False,8556910.4238068,8798617.556452911,8782405.360197721,225494.93639092147,-16212.196255190298,0.02484489470423402,671949.2151970809,265218.1186154096,25988.691172149756,-41.07539847217314,-23668.974604179937,8953385.327303847,396474.9034970477,154767.77085093595,20479.063748309596,-50.046204651473765,-32250.47059414233,8898638.246088821,-51.41025010565139,-37744.595374743716,8960308.565213386
0.25,0.0001,"gamma=0.25, epsilon=0.0001",0.35,3,4,5,S5,高强度综合激励策略,0.6280721394224652,1,0.6280721394224652,2,0.5709590446244643,4,0.42770293509630825,3,5,True,False,False,11409213.898409069,11668765.122970585,11818564.426910112,409350.5285010431,149799.3039395269,0.018806055161495246,671949.2151970809,272940.5137499669,19438.66790232171,-52.1621681487012,-39561.86070851685,11937272.028777374,528058.1303683054,268506.9058067892,14115.98554252487,-55.7461313246652,-49252.03673112276,11817394.287788114,-52.70194845295068,-53767.950607932464,11880391.20122837
