观察期标签,延续活跃系数,delay_window_count,总窗口数,可行策略数量,最优策略编号,最优策略名称,最优策略替代TOPSIS得分,S5排序,S5_替代TOPSIS得分,S4排序,S4_替代TOPSIS得分,S3排序,S3_替代TOPSIS得分,S2排序,S1排序,S5是否第一,S4是否第一,S3是否第一,S0平台利润,S1平台利润,S5平台利润,S5相对S0利润差,S5相对S1利润差,S5成本收入比,S5积分成本,S5总活跃度提升,S5续费概率提升,S5私教购买概率提升,S5私教收入提升,S4平台利润,S4相对S0利润差,S4相对S1利润差,S4续费概率提升,S4私教购买概率提升,S4私教收入提升,S3平台利润,S3私教购买概率提升,S3私教收入提升,S2平台利润
L1,0.2,1,2,5,S4,流失召回强化策略,0.5665236112491647,2,0.5542544455409011,1,0.5665236112491647,4,0.5017347973976538,3,5,False,True,False,5704606.949204534,6816080.836918973,6294590.906177288,589983.9569727536,-521489.93074168544,0.0389190096839569,788873.9182760085,360840.3144362071,69969.45460407465,70.88711245216403,46817.83264785071,6580763.15027448,876156.2010699455,-235317.6866444936,67295.41846840228,57.21743027883954,41071.34969414753,6674577.970444043,22.490329032492763,28887.098420612485,6721693.248947693
L1,0.2,2,3,5,S4,流失召回强化策略,0.5746858296754461,2,0.5634296363551687,1,0.5746858296754461,4,0.5033680735609432,3,5,False,True,False,8556910.4238068,10006651.007233037,9719064.331391746,1162153.9075849466,-287586.6758412905,0.0262383975047283,788873.9182760085,372868.324917414,61091.55936961477,-7.763094765441358,43694.86765312942,9949330.387324136,1392419.9635173362,-57320.61990890093,55408.05903268226,-25.00299273972809,32636.95468772939,9999480.338908534,-31.26081474923846,18664.54260036754,10032306.904532252
L1,0.2,3,4,5,S5,高强度综合激励策略,0.5957261462304171,1,0.5957261462304171,2,0.5501856523875717,3,0.4421711713535963,4,5,True,False,False,11409213.898409069,13093013.780998267,12985344.89277056,1576130.9943614919,-107668.88822770678,0.0200178265207277,788873.9182760085,375273.92701365537,44868.84176014374,-33.04592646217238,33025.49952475482,13129797.846493008,1720583.948083939,36784.06549474038,35985.39024778858,-47.16207723977181,17951.368897973152,13141203.292924125,-57.66608815847516,850.315503155929,13161081.928821884
L1,0.2,4,5,5,S5,高强度综合激励策略,0.5655259871905631,1,0.5655259871905631,2,0.5397848676087251,4,0.49015422273950665,3,5,True,False,False,14261517.373011336,16153668.671692755,16092496.012010086,1830978.6389987506,-61172.659682668746,0.0163342958256097,788873.9182760085,375755.04743290367,28508.30708473386,-63.22916122271288,13266.149490227806,16209951.202868026,1948433.82985669,56282.53117527068,25619.14715843569,-39.41459053643612,4542.502798625676,16223258.83154548,-6.752222410401387,-2719.0819469724665,16241466.255028762
L1,0.2,6,7,5,S5,高强度综合激励策略,0.5902342256400931,1,0.5902342256400931,2,0.5863316214518524,3,0.5158589128264537,4,5,True,False,False,19966124.32221587,22167825.80111255,22204418.54620056,2238294.2239846885,36592.7450880073,0.0119921452991149,788873.9182760085,375870.5163335232,21291.83111541985,-32.360782872678875,12482.846140928334,22285050.99653075,2318926.674314879,117225.19541819766,19063.176438409697,-35.01383943186225,-4601.750512716477,22281446.723925702,-36.50799181429125,-12848.470241496572,22290770.20937872
L1,0.2,8,9,5,S5,高强度综合激励策略,0.6117800318109484,1,0.6117800318109484,2,0.5854839521094141,3,0.5098228923785149,4,5,True,False,False,25670731.271420408,28053526.094260182,28159549.91118889,2488818.6397684813,106023.81692870706,0.0095253915639545,788873.9182760085,375875.135089548,13607.14825881765,-45.186243641288485,-13271.48089928471,28228495.89795793,2557764.6265375204,174969.80369774625,12421.154925965604,-48.1496700574348,-31964.907987866667,28207311.479866374,-49.18366784233879,-40951.73142002849,28212575.42022273
L1,0.2,12,13,5,S5,高强度综合激励策略,0.6484567469993591,1,0.6484567469993591,2,0.548196908901934,3,0.4458724299495655,4,5,True,False,False,37079945.16982948,39423420.5655777,39664163.637570925,2584218.4677414447,240743.07199322432,0.0068166289351154,788873.9182760085,375875.3272297986,-1281.6583838217118,-56.925774368578274,-79103.43595276843,39686106.71093269,2606161.5411032066,262686.1453549862,-1587.606401763346,-57.454492636384096,-98834.9924455434,39636489.801330544,-57.56359436300654,-108241.68282167194,39632157.24078234
L2,0.35,1,2,5,S4,流失召回强化策略,0.5585048485550754,2,0.5438445427218496,1,0.5585048485550754,4,0.524590074007754,3,5,False,True,False,5704606.949204534,6863799.3498925,6309599.040208936,604992.0910044014,-554200.3096835641,0.0388363025533506,788873.9182760085,405945.353740733,71494.38991246605,77.36412958128315,48823.47546349827,6604742.909985793,900135.9607812585,-259056.43990670703,69665.99737848771,69.88676071095254,44968.3444953681,6704700.273092316,61.64337404058571,40817.0478331733,6753436.498900937
L2,0.35,2,3,5,S4,流失召回强化策略,0.560164409763528,2,0.5561307771947126,1,0.560164409763528,4,0.5104163814784725,3,5,False,True,False,8556910.4238068,10202667.519810822,9806390.686540622,1249480.2627338227,-396276.8332701996,0.0260196393402405,788873.9182760085,442781.1358394292,67945.39195615312,61.14425449245921,66589.3815168745,10066885.300429638,1509974.876622839,-135782.2193811834,64730.192968729294,18.233427967674384,49645.83023475568,10134361.923871487,-1.1652724611187857,39614.39903434456,10175967.54372719
L2,0.35,3,4,5,S4,流失召回强化策略,0.5633493267416215,2,0.5579650235222273,1,0.5633493267416215,4,0.5119574829273933,3,5,False,True,False,11409213.898409069,13402417.061074745,13236401.72030096,1827187.8218918908,-166015.3407737855,0.0196577421264249,788873.9182760085,455673.6595739728,61608.72345880455,-2.465062368562867,65006.28286537423,13441020.153981123,2031806.2555720545,38603.09290637821,56003.79272561848,-24.008172360285435,41537.94010799524,13469962.902334308,-28.659256081467127,30166.36032238911,13499284.296584869
