观察期标签,delay_window_count,总窗口数,窗口1权重,延期窗口权重,延续活跃系数,策略编号,策略名称,p0,p1,Pmax,兑换概率,窗口1会员收入,窗口1私教收入,延期窗口会员收入合计,延期窗口私教收入合计,会员收入,私教收入,积分成本,平台利润,总活跃度提升,总线上活跃提升,最终续费概率提升,最终私教购买概率提升,私教期望购买人数提升,私教收入提升,成本收入比,是否利润非负,是否满足成本约束,gamma_kappa,epsilon_kappa,kappa情景
KAPPA,1,2,1.0,1.0,0.35,S0,无积分基准策略,0,0,0,0.0,8076026.680760961,85647.12111976856,8076026.680760961,85647.12111976856,16152053.361521922,171294.24223953712,0.0,5704606.949204534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.25,1e-09,"gamma=0.25, epsilon=1e-09"
KAPPA,1,2,1.0,1.0,0.35,S1,低补贴保留策略,6,2,120,0.3,9422358.643123476,91616.27675636509,9285267.512798347,77743.82031216165,18707626.155921824,169360.09706852672,62944.33688910638,6535532.846804089,55475.6624538752,140188.1314376099,44887.660827432825,-24.940219886665172,-24.940219886665172,-1934.145171010401,0.0033344484148858885,True,True,0.25,1e-09,"gamma=0.25, epsilon=1e-09"
KAPPA,1,2,1.0,1.0,0.35,S2,均衡促活策略,10,4,220,0.5,9529259.825299116,98075.1648279659,9404221.24341053,89327.38943198933,18933481.068709645,187402.55425995524,257390.09372082463,6425549.046605538,134732.39808271662,404344.9176002143,49285.63330140349,12.984815356167967,12.984815356167967,16108.312020418118,0.01346120288142051,True,True,0.25,1e-09,"gamma=0.25, epsilon=1e-09"
KAPPA,1,2,1.0,1.0,0.35,S3,私教转化强化策略,9,4,260,0.55,9529718.722816005,98321.68972483216,9418608.287438791,90651.75156862623,18948327.010254797,188973.4412934584,308117.5598365951,6380488.92614062,146917.78026927108,482891.1502344184,49818.80606950095,17.301823761328787,17.301823761328787,17679.19905392127,0.01610036695701601,True,True,0.25,1e-09,"gamma=0.25, epsilon=1e-09"
KAPPA,1,2,1.0,1.0,0.35,S4,流失召回强化策略,12,5,300,0.6,9578577.329993805,99599.958980849,9468727.741855005,94694.41750990837,19047305.07184881,194294.37649075736,432840.8720834449,6292004.216010866,219814.70189014787,682187.1784496371,51609.81934483312,30.558064061655973,30.558064061655973,23000.13425122024,0.02249505677766286,True,True,0.25,1e-09,"gamma=0.25, epsilon=1e-09"
KAPPA,1,2,1.0,1.0,0.35,S5,高强度综合激励策略,16,7,420,0.7,9642995.949044723,97128.68664881898,9530226.005841358,98181.83515092381,19173221.95488608,195310.5217997428,753520.0956363467,6015700.745113703,405945.353740733,1298494.8434916656,53843.04467260155,42.275042974959895,42.275042974959895,24016.279560205672,0.038904346343398476,True,True,0.25,1e-09,"gamma=0.25, epsilon=1e-09"
KAPPA,1,2,1.0,1.0,0.35,S0,无积分基准策略,0,0,0,0.0,8076026.680760961,85647.12111976856,8076026.680760961,85647.12111976856,16152053.361521922,171294.24223953712,0.0,5704606.949204534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.25,0.0001,"gamma=0.25, epsilon=0.0001"
KAPPA,1,2,1.0,1.0,0.35,S1,低补贴保留策略,6,2,120,0.3,8921429.82411556,76809.42834219184,8751376.686211588,71236.27161300149,17672806.510327145,148045.69995519333,62871.16831313281,6167024.820287926,55475.6624538752,140188.1314376099,24325.924197726457,-47.2897939952999,-47.2897939952999,-23248.5422843438,0.0035279552050186003,True,True,0.25,0.0001,"gamma=0.25, epsilon=0.0001"
KAPPA,1,2,1.0,1.0,0.35,S2,均衡促活策略,10,4,220,0.5,9063832.0025861,82355.95495285686,8903243.478486024,76114.58495827323,17967075.481072124,158470.5399111301,257200.65843464035,6078816.921913941,134732.39808271662,404344.9176002143,29893.401983896674,-31.682376595367888,-31.682376595367888,-12823.702328407031,0.014189953678465133,True,True,0.25,0.0001,"gamma=0.25, epsilon=0.0001"
KAPPA,1,2,1.0,1.0,0.35,S3,私教转化强化策略,9,4,260,0.55,9072319.035116779,82740.74939741903,8913931.669636322,76530.29396293672,17986250.7047531,159271.04336035575,307930.8012238645,6035038.258447827,146917.78026927108,482891.1502344184,30288.444900245137,-30.40579846732825,-30.40579846732825,-12023.198879181378,0.016970071486419467,True,True,0.25,0.0001,"gamma=0.25, epsilon=0.0001"
KAPPA,1,2,1.0,1.0,0.35,S4,流失召回强化策略,12,5,300,0.6,9134524.439559588,84392.09494734244,8984241.03087473,78198.00465264889,18118765.470434316,162590.09959999134,432578.54498772806,5957766.39954428,219814.70189014787,682187.1784496371,32866.90246718191,-24.874188237926276,-24.874188237926276,-8704.142639545782,0.02366227949183291,True,True,0.25,0.0001,"gamma=0.25, epsilon=0.0001"
KAPPA,1,2,1.0,1.0,0.35,S5,高强度综合激励策略,16,7,420,0.7,9221729.790174305,81999.14889611963,9072658.975466117,82615.24324800096,18294388.765640423,164614.3921441206,753116.0387282613,5699304.346889122,405945.353740733,1298494.8434916656,36139.4683592501,-10.12975029803076,-10.12975029803076,-6679.850095416536,0.04079938836841558,True,True,0.25,0.0001,"gamma=0.25, epsilon=0.0001"
KAPPA,1,2,1.0,1.0,0.35,S0,无积分基准策略,0,0,0,0.0,8076026.680760961,85647.12111976856,8076026.680760961,85647.12111976856,16152053.361521922,171294.24223953712,0.0,5704606.949204534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.25,0.001,"gamma=0.25, epsilon=0.001"
KAPPA,1,2,1.0,1.0,0.35,S1,低补贴保留策略,6,2,120,0.3,8807313.80268633,76201.63536472959,8667588.293841887,71094.5855762946,17474902.096528217,147296.2209410242,62346.09509673599,6098058.504970447,55475.6624538752,140188.1314376099,21148.792614104295,-47.73183093010628,-47.73183093010628,-23998.021298512933,0.003537929489474139,True,True,0.25,0.001,"gamma=0.25, epsilon=0.001"
KAPPA,1,2,1.0,1.0,0.35,S2,均衡促活策略,10,4,220,0.5,8920612.101669317,80495.00725295403,8795259.608403195,75504.55513413831,17715871.71007251,155999.56238709233,255848.0112919721,5991506.955949533,134732.39808271662,404344.9176002143,25787.13751490724,-33.827265699348786,-33.827265699348786,-15294.679852444795,0.014315681183661591,True,True,0.25,0.001,"gamma=0.25, epsilon=0.001"
KAPPA,1,2,1.0,1.0,0.35,S3,私教转化强化策略,9,4,260,0.55,8927395.836572135,81370.77710742573,8803878.579303138,75962.4893684636,17731274.41587527,157333.26647588934,306599.87133093644,5946546.154168175,146917.78026927108,482891.1502344184,26087.973767314063,-32.2578833383342,-32.2578833383342,-13960.975763647788,0.01713939266684387,True,True,0.25,0.001,"gamma=0.25, epsilon=0.001"
KAPPA,1,2,1.0,1.0,0.35,S4,流失召回强化策略,12,5,300,0.6,8977795.53119703,83055.58349480333,8860165.185356988,77418.90946995099,17837960.716554016,160474.49296475432,430704.43809176434,5860724.160591567,219814.70189014787,682187.1784496371,28123.275968268455,-27.484229879312558,-27.484229879312558,-10819.749274782807,0.023930104649540818,True,True,0.25,0.001,"gamma=0.25, epsilon=0.001"
KAPPA,1,2,1.0,1.0,0.35,S5,高强度综合激励策略,16,7,420,0.7,9061810.158322526,80550.44615013055,8927946.489545425,81297.48721095506,17989756.64786795,161847.9333610856,750293.5634188744,5594675.643343234,405945.353740733,1298494.8434916656,30603.136576288085,-14.634126877722112,-14.634126877722112,-9446.308878451528,0.041334834067218995,True,True,0.25,0.001,"gamma=0.25, epsilon=0.001"
KAPPA,1,2,1.0,1.0,0.35,S0,无积分基准策略,0,0,0,0.0,8076026.680760961,85647.12111976856,8076026.680760961,85647.12111976856,16152053.361521922,171294.24223953712,0.0,5704606.949204534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.25,0.01,"gamma=0.25, epsilon=0.01"
KAPPA,1,2,1.0,1.0,0.35,S1,低补贴保留策略,6,2,120,0.3,8671279.743490234,74177.2803193626,8558951.882431438,70067.60956174933,17230231.625921674,144244.8898811119,60007.53326906876,6013847.00276785,55475.6624538752,140188.1314376099,17200.161761108666,-51.48687484239977,-51.48687484239977,-27049.35235842521,0.0034537750368760457,True,True,0.25,0.01,"gamma=0.25, epsilon=0.01"
KAPPA,1,2,1.0,1.0,0.35,S2,均衡促活策略,10,4,220,0.5,8773474.829456417,77618.38356562163,8659038.608271424,73673.68159477605,17432513.43772784,151292.06516039767,249787.5594705866,5896979.763282277,134732.39808271662,404344.9176002143,20762.58587090677,-40.291506203380955,-40.291506203380955,-20002.177079139452,0.014205546087822549,True,True,0.25,0.01,"gamma=0.25, epsilon=0.01"
KAPPA,1,2,1.0,1.0,0.35,S3,私教转化强化策略,9,4,260,0.55,8780252.66712775,78074.70430538146,8666484.628519943,73936.02548272173,17446737.295647696,152010.7297881032,300655.8703631164,5851305.402050008,146917.78026927108,482891.1502344184,21039.15820128453,-39.52821116554879,-39.52821116554879,-19283.512451433926,0.017083935171329966,True,True,0.25,0.01,"gamma=0.25, epsilon=0.01"
KAPPA,1,2,1.0,1.0,0.35,S4,流失召回强化策略,12,5,300,0.6,8821917.053003784,80360.7326611462,8721813.84361607,75340.43494445921,17543730.896619856,155701.1676056054,422408.07402727875,5764608.090071353,219814.70189014787,682187.1784496371,23024.99206605829,-34.976133003304135,-34.976133003304135,-15593.074633931712,0.02386562871026018,True,True,0.25,0.01,"gamma=0.25, epsilon=0.01"
