gamma_kappa,epsilon_kappa,kappa情景,可行策略数量,最优策略编号,最优策略名称,最优策略TOPSIS得分,S5排序,S5_TOPSIS得分,S4排序,S4_TOPSIS得分,S3排序,S2排序,S5是否第一,S4是否第一,S0平台利润,S1平台利润,S5平台利润,S5相对S0利润差,S5相对S1利润差,S5成本收入比,S5积分成本,S5总活跃度提升,S5续费概率提升,S4平台利润,S4相对S0利润差,S4相对S1利润差,S4续费概率提升,S3平台利润,S2平台利润
0.25,1e-09,"gamma=0.25, epsilon=1e-09",5,S5,高强度综合激励策略,0.5815225175100855,1,0.5815225175100855,2,0.5444110830091792,3,4,True,False,5704606.949204534,6254250.768871706,6027203.698754243,322596.74954970833,-227047.07011746336,0.035056464744362775,671949.9058454214,243154.13251667432,50548.92442581661,6265210.490831383,560603.5416268483,10959.721959676594,48084.32063455634,6275729.509521122,6332835.7223981
0.25,0.0001,"gamma=0.25, epsilon=0.0001",5,S5,高强度综合激励策略,0.5806705165551619,1,0.5806705165551619,2,0.5525084514295736,3,4,True,False,5704606.949204534,5901745.851040603,5682453.544565212,-22153.40463932231,-219292.30647539068,0.03696436002622415,671949.2151970809,243154.13251667432,31393.908216205968,5909380.254428721,204773.30522418674,7634.403388118371,28012.868071096957,5911704.334008465,5969805.056143281
0.25,0.001,"gamma=0.25, epsilon=0.001",5,S5,高强度综合激励策略,0.5778921972710139,1,0.5778921972710139,2,0.5572012877461026,3,4,True,False,5704606.949204534,5861428.770402743,5588154.59444898,-116452.35475555435,-273274.1759537626,0.03752070012466531,671944.5954931019,243154.13251667432,26848.026691900337,5826877.442066443,122270.49286190886,-34551.3283362994,24301.981477723002,5852837.034495189,5907674.636893889
0.25,0.01,"gamma=0.25, epsilon=0.01",5,S5,高强度综合激励策略,0.5884733083506266,1,0.5884733083506266,2,0.5482499427114728,3,4,True,False,5704606.949204534,5821607.790324727,5487662.210486493,-216944.73871804122,-333945.579838234,0.03813029521859722,671884.3588059495,243154.13251667432,21818.02370596598,5732854.847145919,28247.897941384465,-88752.94317880832,19692.325218882615,5778044.550973374,5831032.956137038
0.25,0.05,"gamma=0.25, epsilon=0.05",5,S5,高强度综合激励策略,0.6309181315042547,1,0.6309181315042547,2,0.5713546567318271,3,5,True,False,5704606.949204534,5797751.245158047,5408756.455802083,-295850.4934024513,-388994.7893559644,0.03860907450501417,671556.8166530313,243154.13251667432,18256.956015861237,5663525.895415226,-41081.053789308295,-134225.34974282142,16744.27201526023,5731201.226052472,5782541.023229307
0.5,1e-09,"gamma=0.5, epsilon=1e-09",5,S4,流失召回强化策略,0.5689761734440419,2,0.5601095983293118,1,0.5689761734440419,3,4,False,True,5704606.949204534,6492873.500422527,6351644.233456555,647037.2842520205,-141229.26696597226,0.03343393574611152,671975.0792489175,243154.13251667432,68068.13130559861,6594492.5355971595,889885.5863926252,101619.03517463244,65518.937333300804,6606853.053940229,6666323.974574778
0.5,0.0001,"gamma=0.5, epsilon=0.0001",5,S4,流失召回强化策略,0.6142093601170284,3,0.518100769429374,1,0.6142093601170284,4,2,False,True,5704606.949204534,6076085.139255542,6065872.40652959,361265.45732505526,-10212.732725952752,0.03485637894240431,671975.0484985446,243154.13251667432,51653.50003411106,6287220.041511273,582613.0923067387,211134.9022557307,47718.23821856663,6236684.555093022,6305939.609650521
0.5,0.001,"gamma=0.5, epsilon=0.001",5,S4,流失召回强化策略,0.6061739259482867,2,0.541760706376981,1,0.6061739259482867,4,3,False,True,5704606.949204534,5946150.642500067,5906087.968379378,201481.01917484403,-40062.67412068881,0.03570619274711617,671974.8327916213,243154.13251667432,42184.44267419498,6111342.86419797,406735.9149934361,165192.22169790324,37388.643982421,6039364.705628984,6103888.958020828
0.5,0.01,"gamma=0.5, epsilon=0.01",5,S5,高强度综合激励策略,0.5825275514236129,1,0.5825275514236129,2,0.5451281275891984,3,4,True,False,5704606.949204534,5855664.4091841765,5664839.445096869,-39767.50410766527,-190824.96408730745,0.03706699572150654,671974.4210044253,243154.13251667432,29391.113477324365,5874106.221708604,169499.27250406984,18441.81252442766,25335.542799198643,5861991.774882149,5918839.0602657525
0.5,0.05,"gamma=0.5, epsilon=0.05",5,S5,高强度综合激励策略,0.5863753361050411,1,0.5863753361050411,2,0.5337592448496417,3,4,True,False,5704606.949204534,5812033.763829731,5502002.383723918,-202604.56548061594,-310031.38010581303,0.038045431489159884,671966.2618428455,243154.13251667432,21652.451646519192,5730292.605565336,25685.65636080131,-81741.15826439578,18990.834460213922,5766182.163905776,5818922.372327057
