情景ID,参数类别,情景,参数取值,c,redeem_prob_scale,eta,rho_scale,q_scale,gamma_A,可行策略数量,最优策略编号,最优策略名称,最优策略TOPSIS得分,S5排序,S4排序,S2排序,S5_TOPSIS得分,S5是否第一,S0平台利润,S5平台利润,S5相对S0利润差,S5成本收入比,S5积分成本,S5总活跃度提升,S5续费概率提升,S4平台利润,S2平台利润
基准,基准,基准,基准口径,0.01,1.0,0.18,1.0,1.0,0.35,5,S4,流失召回强化策略,0.559740669651596,2,1,3,0.54303907546668,False,5704606.949204534,6309599.040208936,604992.0910044014,0.03883630255335067,788873.9182760085,405945.353740733,71494.38991246605,6604742.909985793,6753436.498900937
单位积分抵扣金额c:偏低,单位积分抵扣金额c,偏低,c=0.005,0.005,1.0,0.18,1.0,1.0,0.35,5,S4,流失召回强化策略,0.5735984010360784,2,1,3,0.546965287220165,False,5704606.949204534,6704035.507718472,999428.5585139375,0.019418175479569443,394437.45076647174,405945.353740733,71494.38991246605,6832530.707049428,6890024.122715379
单位积分抵扣金额c:偏高,单位积分抵扣金额c,偏高,c=0.015,0.015,1.0,0.18,1.0,1.0,0.35,5,S4,流失召回强化策略,0.5553573747584355,2,1,3,0.5413221019005551,False,5704606.949204534,5919179.142257281,214572.19305274636,0.05805669370639394,1179293.8162276638,405945.353740733,71494.38991246605,6376955.386618215,6616848.988850426
兑换概率:偏低,兑换概率,偏低,redeem_prob x 0.8,0.01,0.8,0.18,1.0,1.0,0.35,5,S4,流失召回强化策略,0.5626463961602965,2,1,3,0.5440610846578003,False,5704606.949204534,6467373.62256201,762766.6733574755,0.031069051952794333,631099.3359229336,405945.353740733,71494.38991246605,6695858.013539854,6808071.502921141
兑换概率:偏高,兑换概率,偏高,redeem_prob x 1.2,0.01,1.2,0.18,1.0,1.0,0.35,5,S4,流失召回强化策略,0.5578593068825779,2,1,3,0.5423252854558719,False,5704606.949204534,6152146.273738674,447539.3245341396,0.04658771014185923,946326.6847462698,405945.353740733,71494.38991246605,6513627.80643173,6698801.494880732
成本收入比上限eta:偏严,成本收入比上限eta,偏严,eta=0.12,0.01,1.0,0.12,1.0,1.0,0.35,5,S4,流失召回强化策略,0.559740669651596,2,1,3,0.54303907546668,False,5704606.949204534,6309599.040208936,604992.0910044014,0.03883630255335067,788873.9182760085,405945.353740733,71494.38991246605,6604742.909985793,6753436.498900937
成本收入比上限eta:偏松,成本收入比上限eta,偏松,eta=0.24,0.01,1.0,0.24,1.0,1.0,0.35,5,S4,流失召回强化策略,0.559740669651596,2,1,3,0.54303907546668,False,5704606.949204534,6309599.040208936,604992.0910044014,0.03883630255335067,788873.9182760085,405945.353740733,71494.38991246605,6604742.909985793,6753436.498900937
响应强度rho_g:保守,响应强度rho_g,保守,rho_g x 0.7,0.01,1.0,0.18,0.7,1.0,0.35,5,S4,流失召回强化策略,0.5656829008823951,2,1,3,0.5518454804085321,False,5704606.949204534,6294148.412314401,589541.4631098667,0.0387715857483617,785454.9099864212,284161.74761851307,70781.45253946286,6579741.132341818,6723844.350147075
响应强度rho_g:乐观,响应强度rho_g,乐观,rho_g x 1.3,0.01,1.0,0.18,1.3,1.0,0.35,5,S4,流失召回强化策略,0.556665162752575,2,1,3,0.5422771985077534,False,5704606.949204534,6324117.141132072,619510.1919275373,0.03885821609072589,791195.8030307447,527728.9598629529,72467.48938867557,6621528.442288624,6769084.919526202
参考响应比例q_g:保守,参考响应比例q_g,保守,q_g x 0.7,0.01,1.0,0.18,1.0,0.7,0.35,5,S4,流失召回强化策略,0.5598785213001561,2,1,3,0.5568478878568927,False,5704606.949204534,6295703.917975094,591096.9687705599,0.038784332794127525,785941.4489375794,299770.75014117284,70899.36020071227,6581424.572179295,6721739.590306129
参考响应比例q_g:乐观,参考响应比例q_g,乐观,q_g x 1.3,0.01,1.0,0.18,1.0,1.3,0.35,5,S4,流失召回强化策略,0.564355739719257,4,1,2,0.5371025998804425,False,5704606.949204534,6322207.559040192,617600.6098356573,0.03884955360476199,790756.6583935426,499337.14161000686,72333.42383248039,6621074.504874907,6769419.419084146
活跃延续系数gamma_A:偏低,活跃延续系数gamma_A,偏低,gamma_A=0.20,0.01,1.0,0.18,1.0,1.0,0.2,5,S4,流失召回强化策略,0.5703200593471992,2,1,3,0.5562309954860972,False,5704606.949204534,6294590.906177288,589983.9569727536,0.03891900968395698,788873.9182760085,360840.3144362071,69969.45460407465,6580763.15027448,6721693.248947693
活跃延续系数gamma_A:偏高,活跃延续系数gamma_A,偏高,gamma_A=0.50,0.01,1.0,0.18,1.0,1.0,0.5,5,S4,流失召回强化策略,0.5551540843044838,2,1,3,0.5432050113121641,False,5704606.949204534,6321838.414767581,617231.4655630467,0.03876917908297385,788873.9182760085,451050.39304525894,72751.08844619589,6618243.631065685,6770834.91827829
